,0,1
country,Australia,New Zealand
gdpPercap_1952,10039.595640000001,10556.575659999999
gdpPercap_1957,10949.64959,12247.39532
gdpPercap_1962,12217.226859999999,13175.678
gdpPercap_1967,14526.12465,14463.918930000002
gdpPercap_1972,16788.62948,16046.03728
gdpPercap_1977,18334.197509999998,16233.7177
gdpPercap_1982,19477.009280000002,17632.4104
gdpPercap_1987,21888.889030000002,19007.19129
gdpPercap_1992,23424.76683,18363.324940000002
gdpPercap_1997,26997.936569999998,21050.41377
gdpPercap_2002,30687.75473,23189.80135
gdpPercap_2007,34435.367439999995,25185.00911
